ISOPais	País	Tipo	Celebración	Descripción	Fecha	Año	Mes	Día
CO	Colombia	National holiday	Assumption of Mary	The Christian feast of the Assumption of Mary is on or around Aug 15 in most countries. A few celebrate Assumption Day at other times of the year.	2029-08-20	2029	8	20
CO	Colombia	Observance	Valentine's Day	"Valentine’s Day is a special time to celebrate love, romance and friendship."	2029-09-15	2029	9	15
CO	Colombia	National holiday	Columbus Day	Columbus Day is a national holiday in Colombia	2029-10-15	2029	10	15
CO	Colombia	Observance	Halloween	Halloween is a festive occasion that is celebrated in many countries on October 31 each year.	2029-10-31	2029	10	31
CO	Colombia	National holiday	All Saints' Day	"Many churches honor all their saints on All Saints' Day, also known as All Hallows' Day."	2029-11-05	2029	11	5
CO	Colombia	National holiday	Independence of Cartagena	Independence of Cartagena is a national holiday in Colombia	2029-11-12	2029	11	12
CO	Colombia	Observance	Colombian Women's Day	Colombian Women's Day is a observance in Colombia	2029-11-14	2029	11	14
CO	Colombia	Observance	Eve of the Feast of the Immaculate Conception	Eve of the Feast of the Immaculate Conception is a observance in Colombia	2029-12-07	2029	12	7
CO	Colombia	National holiday	Feast of the Immaculate Conception	The Feast of the Immaculate Conception is a Christian observance on December 8 each year.	2029-12-08	2029	12	8
CO	Colombia	Observance	Christmas Eve	Christmas Eve is the day before Christmas Day and falls on December 24 in the Gregorian calendar.	2029-12-24	2029	12	24
CO	Colombia	"National holiday,Christian"	Christmas Day	Christmas Day is one of the biggest Christian celebrations and falls on December 25 in the Gregorian calendar.	2029-12-25	2029	12	25
CO	Colombia	Observance	New Year's Eve	"New Year’s Eve is the last day of the year, December 31, in the Gregorian calendar."	2029-12-31	2029	12	31
CO	Colombia	National holiday	New Year's Day	"New Year’s Day is the first day of the year, or January 1, in the Gregorian calendar."	2030-01-01	2030	1	1
CO	Colombia	National holiday	Epiphany	Epiphany is a national holiday in Colombia	2030-01-07	2030	1	7
CO	Colombia	Observance	Women's Day	Women's Day is a observance in Colombia	2030-03-08	2030	3	8
CO	Colombia	National holiday	Saint Joseph's Day	Saint Joseph's Day is a national holiday in Colombia	2030-03-25	2030	3	25
CO	Colombia	"Observance,Christian"	Palm Sunday	Palm Sunday is a Christian feast that commemorates Jesus Christ’s entry into Jerusalem. It is also the start of Holy Week.	2030-04-14	2030	4	14
CO	Colombia	"National holiday,Christian"	Maundy Thursday	Maundy Thursday is a Christian observance on the Thursday during Holy Week. It is the day before Good Friday.	2030-04-18	2030	4	18
CO	Colombia	"National holiday,Christian"	Good Friday	Good Friday is a global Christian observance two days before Easter Sunday.	2030-04-19	2030	4	19
CO	Colombia	"Observance,Christian"	Easter Sunday	"Easter Sunday commemorates Jesus Christ’s resurrection, according to Christian belief."	2030-04-21	2030	4	21
CO	Colombia	Observance	Language Day	Language Day is a observance in Colombia	2030-04-23	2030	4	23
CO	Colombia	Observance	Secretaries' Day	Secretaries' Day is a observance in Colombia	2030-04-26	2030	4	26
CO	Colombia	Observance	Children's Day	Children's Day is a observance in Colombia	2030-04-27	2030	4	27
CO	Colombia	Observance	Day of Trees	Day of Trees is a observance in Colombia	2030-04-29	2030	4	29
CO	Colombia	National holiday	Labor Day / May Day	"Labor Day, or May Day, is a day off for workers in many countries around the world."	2030-05-01	2030	5	1
CO	Colombia	Observance	Mother's Day	Mother’s Day celebrates the achievements and efforts of mothers and mother figures.	2030-05-12	2030	5	12
CO	Colombia	Observance	Teacher's Day	Teacher's Day is a observance in Colombia	2030-05-15	2030	5	15
CO	Colombia	National holiday	Ascension Day	Ascension Day is the 40th day of Easter. It is a religious holiday that commemorates the ascension of Jesus Christ into heaven.	2030-06-03	2030	6	3
CO	Colombia	Observance	Father's Day	Father’s Day celebrates fatherhood and male parenting on different dates worldwide.	2030-06-16	2030	6	16
CO	Colombia	National holiday	Corpus Christi	Corpus Christi is a Christian feast in honor of the Holy Eucharist.	2030-06-24	2030	6	24
CO	Colombia	National holiday	Sacred Heart	Sacred Heart is a national holiday in Colombia	2030-07-01	2030	7	1
CO	Colombia	National holiday	Feast of Saint Peter and Saint Paul	Feast of Saint Peter and Saint Paul is a national holiday in Colombia	2030-07-01	2030	7	1
CO	Colombia	National holiday	Independence Day	Independence Day is a national holiday in Colombia	2030-07-20	2030	7	20
CO	Colombia	National holiday	Battle of Boyacá Day	Battle of Boyacá Day is a national holiday in Colombia	2030-08-07	2030	8	7
CO	Colombia	National holiday	Assumption of Mary	The Christian feast of the Assumption of Mary is on or around Aug 15 in most countries. A few celebrate Assumption Day at other times of the year.	2030-08-19	2030	8	19
CO	Colombia	Observance	Valentine's Day	"Valentine’s Day is a special time to celebrate love, romance and friendship."	2030-09-21	2030	9	21
CO	Colombia	National holiday	Columbus Day	Columbus Day is a national holiday in Colombia	2030-10-14	2030	10	14
CO	Colombia	Observance	Halloween	Halloween is a festive occasion that is celebrated in many countries on October 31 each year.	2030-10-31	2030	10	31
CO	Colombia	National holiday	All Saints' Day	"Many churches honor all their saints on All Saints' Day, also known as All Hallows' Day."	2030-11-04	2030	11	4
CO	Colombia	National holiday	Independence of Cartagena	Independence of Cartagena is a national holiday in Colombia	2030-11-11	2030	11	11
CO	Colombia	Observance	Colombian Women's Day	Colombian Women's Day is a observance in Colombia	2030-11-14	2030	11	14
CO	Colombia	Observance	Eve of the Feast of the Immaculate Conception	Eve of the Feast of the Immaculate Conception is a observance in Colombia	2030-12-07	2030	12	7
CO	Colombia	National holiday	Feast of the Immaculate Conception	The Feast of the Immaculate Conception is a Christian observance on December 8 each year.	2030-12-08	2030	12	8
CO	Colombia	Observance	Christmas Eve	Christmas Eve is the day before Christmas Day and falls on December 24 in the Gregorian calendar.	2030-12-24	2030	12	24
CO	Colombia	"National holiday,Christian"	Christmas Day	Christmas Day is one of the biggest Christian celebrations and falls on December 25 in the Gregorian calendar.	2030-12-25	2030	12	25
CO	Colombia	Observance	New Year's Eve	"New Year’s Eve is the last day of the year, December 31, in the Gregorian calendar."	2030-12-31	2030	12	31
CO	Colombia	National holiday	New Year's Day	"New Year’s Day is the first day of the year, or January 1, in the Gregorian calendar."	2031-01-01	2031	1	1
CO	Colombia	National holiday	Epiphany	Epiphany is a national holiday in Colombia	2031-01-06	2031	1	6
CO	Colombia	Observance	Women's Day	Women's Day is a observance in Colombia	2031-03-08	2031	3	8
CO	Colombia	National holiday	Saint Joseph's Day	Saint Joseph's Day is a national holiday in Colombia	2031-03-24	2031	3	24
CO	Colombia	"Observance,Christian"	Palm Sunday	Palm Sunday is a Christian feast that commemorates Jesus Christ’s entry into Jerusalem. It is also the start of Holy Week.	2031-04-06	2031	4	6
CO	Colombia	"National holiday,Christian"	Maundy Thursday	Maundy Thursday is a Christian observance on the Thursday during Holy Week. It is the day before Good Friday.	2031-04-10	2031	4	10
CO	Colombia	"National holiday,Christian"	Good Friday	Good Friday is a global Christian observance two days before Easter Sunday.	2031-04-11	2031	4	11
CO	Colombia	"Observance,Christian"	Easter Sunday	"Easter Sunday commemorates Jesus Christ’s resurrection, according to Christian belief."	2031-04-13	2031	4	13
CO	Colombia	Observance	Language Day	Language Day is a observance in Colombia	2031-04-23	2031	4	23
CO	Colombia	Observance	Children's Day	Children's Day is a observance in Colombia	2031-04-26	2031	4	26
CO	Colombia	Observance	Secretaries' Day	Secretaries' Day is a observance in Colombia	2031-04-26	2031	4	26
CO	Colombia	Observance	Day of Trees	Day of Trees is a observance in Colombia	2031-04-29	2031	4	29
CO	Colombia	National holiday	Labor Day / May Day	"Labor Day, or May Day, is a day off for workers in many countries around the world."	2031-05-01	2031	5	1
CO	Colombia	Observance	Mother's Day	Mother’s Day celebrates the achievements and efforts of mothers and mother figures.	2031-05-11	2031	5	11
CO	Colombia	Observance	Teacher's Day	Teacher's Day is a observance in Colombia	2031-05-15	2031	5	15
CO	Colombia	National holiday	Ascension Day	Ascension Day is the 40th day of Easter. It is a religious holiday that commemorates the ascension of Jesus Christ into heaven.	2031-05-26	2031	5	26
CO	Colombia	Observance	Father's Day	Father’s Day celebrates fatherhood and male parenting on different dates worldwide.	2031-06-15	2031	6	15
CO	Colombia	National holiday	Corpus Christi	Corpus Christi is a Christian feast in honor of the Holy Eucharist.	2031-06-16	2031	6	16
CO	Colombia	National holiday	Sacred Heart	Sacred Heart is a national holiday in Colombia	2031-06-23	2031	6	23
CO	Colombia	National holiday	Feast of Saint Peter and Saint Paul	Feast of Saint Peter and Saint Paul is a national holiday in Colombia	2031-06-30	2031	6	30
CO	Colombia	National holiday	Independence Day	Independence Day is a national holiday in Colombia	2031-07-20	2031	7	20
CO	Colombia	National holiday	Battle of Boyacá Day	Battle of Boyacá Day is a national holiday in Colombia	2031-08-07	2031	8	7
CO	Colombia	National holiday	Assumption of Mary	The Christian feast of the Assumption of Mary is on or around Aug 15 in most countries. A few celebrate Assumption Day at other times of the year.	2031-08-18	2031	8	18
CO	Colombia	Observance	Valentine's Day	"Valentine’s Day is a special time to celebrate love, romance and friendship."	2031-09-20	2031	9	20
CO	Colombia	National holiday	Columbus Day	Columbus Day is a national holiday in Colombia	2031-10-13	2031	10	13
CO	Colombia	Observance	Halloween	Halloween is a festive occasion that is celebrated in many countries on October 31 each year.	2031-10-31	2031	10	31
CO	Colombia	National holiday	All Saints' Day	"Many churches honor all their saints on All Saints' Day, also known as All Hallows' Day."	2031-11-03	2031	11	3
CO	Colombia	Observance	Colombian Women's Day	Colombian Women's Day is a observance in Colombia	2031-11-14	2031	11	14
CO	Colombia	National holiday	Independence of Cartagena	Independence of Cartagena is a national holiday in Colombia	2031-11-17	2031	11	17
CO	Colombia	Observance	Eve of the Feast of the Immaculate Conception	Eve of the Feast of the Immaculate Conception is a observance in Colombia	2031-12-07	2031	12	7
CO	Colombia	National holiday	Feast of the Immaculate Conception	The Feast of the Immaculate Conception is a Christian observance on December 8 each year.	2031-12-08	2031	12	8
CO	Colombia	Observance	Christmas Eve	Christmas Eve is the day before Christmas Day and falls on December 24 in the Gregorian calendar.	2031-12-24	2031	12	24
CO	Colombia	"National holiday,Christian"	Christmas Day	Christmas Day is one of the biggest Christian celebrations and falls on December 25 in the Gregorian calendar.	2031-12-25	2031	12	25
CO	Colombia	Observance	New Year's Eve	"New Year’s Eve is the last day of the year, December 31, in the Gregorian calendar."	2031-12-31	2031	12	31
CO	Colombia	National holiday	New Year's Day	"New Year’s Day is the first day of the year, or January 1, in the Gregorian calendar."	2032-01-01	2032	1	1
CO	Colombia	National holiday	Epiphany	Epiphany is a national holiday in Colombia	2032-01-12	2032	1	12
CO	Colombia	Observance	Women's Day	Women's Day is a observance in Colombia	2032-03-08	2032	3	8
CO	Colombia	"Observance,Christian"	Palm Sunday	Palm Sunday is a Christian feast that commemorates Jesus Christ’s entry into Jerusalem. It is also the start of Holy Week.	2032-03-21	2032	3	21
CO	Colombia	National holiday	Saint Joseph's Day	Saint Joseph's Day is a national holiday in Colombia	2032-03-22	2032	3	22
CO	Colombia	"National holiday,Christian"	Maundy Thursday	Maundy Thursday is a Christian observance on the Thursday during Holy Week. It is the day before Good Friday.	2032-03-25	2032	3	25
CO	Colombia	"National holiday,Christian"	Good Friday	Good Friday is a global Christian observance two days before Easter Sunday.	2032-03-26	2032	3	26
CO	Colombia	"Observance,Christian"	Easter Sunday	"Easter Sunday commemorates Jesus Christ’s resurrection, according to Christian belief."	2032-03-28	2032	3	28
CO	Colombia	Observance	Language Day	Language Day is a observance in Colombia	2032-04-23	2032	4	23
CO	Colombia	Observance	Children's Day	Children's Day is a observance in Colombia	2032-04-24	2032	4	24
CO	Colombia	Observance	Secretaries' Day	Secretaries' Day is a observance in Colombia	2032-04-26	2032	4	26
CO	Colombia	Observance	Day of Trees	Day of Trees is a observance in Colombia	2032-04-29	2032	4	29
CO	Colombia	National holiday	Labor Day / May Day	"Labor Day, or May Day, is a day off for workers in many countries around the world."	2032-05-01	2032	5	1
CO	Colombia	Observance	Mother's Day	Mother’s Day celebrates the achievements and efforts of mothers and mother figures.	2032-05-09	2032	5	9
CO	Colombia	National holiday	Ascension Day	Ascension Day is the 40th day of Easter. It is a religious holiday that commemorates the ascension of Jesus Christ into heaven.	2032-05-10	2032	5	10
CO	Colombia	Observance	Teacher's Day	Teacher's Day is a observance in Colombia	2032-05-15	2032	5	15
CO	Colombia	National holiday	Corpus Christi	Corpus Christi is a Christian feast in honor of the Holy Eucharist.	2032-05-31	2032	5	31
CO	Colombia	National holiday	Sacred Heart	Sacred Heart is a national holiday in Colombia	2032-06-07	2032	6	7
CO	Colombia	Observance	Father's Day	Father’s Day celebrates fatherhood and male parenting on different dates worldwide.	2032-06-20	2032	6	20
CO	Colombia	National holiday	Feast of Saint Peter and Saint Paul	Feast of Saint Peter and Saint Paul is a national holiday in Colombia	2032-07-05	2032	7	5
CO	Colombia	National holiday	Independence Day	Independence Day is a national holiday in Colombia	2032-07-20	2032	7	20
CO	Colombia	National holiday	Battle of Boyacá Day	Battle of Boyacá Day is a national holiday in Colombia	2032-08-07	2032	8	7
CO	Colombia	National holiday	Assumption of Mary	The Christian feast of the Assumption of Mary is on or around Aug 15 in most countries. A few celebrate Assumption Day at other times of the year.	2032-08-16	2032	8	16
CO	Colombia	Observance	Valentine's Day	"Valentine’s Day is a special time to celebrate love, romance and friendship."	2032-09-18	2032	9	18
CO	Colombia	National holiday	Columbus Day	Columbus Day is a national holiday in Colombia	2032-10-18	2032	10	18
CO	Colombia	Observance	Halloween	Halloween is a festive occasion that is celebrated in many countries on October 31 each year.	2032-10-31	2032	10	31
CO	Colombia	National holiday	All Saints' Day	"Many churches honor all their saints on All Saints' Day, also known as All Hallows' Day."	2032-11-01	2032	11	1
CO	Colombia	Observance	Colombian Women's Day	Colombian Women's Day is a observance in Colombia	2032-11-14	2032	11	14
CO	Colombia	National holiday	Independence of Cartagena	Independence of Cartagena is a national holiday in Colombia	2032-11-15	2032	11	15
CO	Colombia	Observance	Eve of the Feast of the Immaculate Conception	Eve of the Feast of the Immaculate Conception is a observance in Colombia	2032-12-07	2032	12	7
CO	Colombia	National holiday	Feast of the Immaculate Conception	The Feast of the Immaculate Conception is a Christian observance on December 8 each year.	2032-12-08	2032	12	8
CO	Colombia	Observance	Christmas Eve	Christmas Eve is the day before Christmas Day and falls on December 24 in the Gregorian calendar.	2032-12-24	2032	12	24
CO	Colombia	"National holiday,Christian"	Christmas Day	Christmas Day is one of the biggest Christian celebrations and falls on December 25 in the Gregorian calendar.	2032-12-25	2032	12	25
CO	Colombia	Observance	New Year's Eve	"New Year’s Eve is the last day of the year, December 31, in the Gregorian calendar."	2032-12-31	2032	12	31
CO	Colombia	National holiday	New Year's Day	"New Year’s Day is the first day of the year, or January 1, in the Gregorian calendar."	2033-01-01	2033	1	1
CO	Colombia	National holiday	Epiphany	Epiphany is a national holiday in Colombia	2033-01-10	2033	1	10
CO	Colombia	Observance	Women's Day	Women's Day is a observance in Colombia	2033-03-08	2033	3	8
CO	Colombia	National holiday	Saint Joseph's Day	Saint Joseph's Day is a national holiday in Colombia	2033-03-21	2033	3	21
CO	Colombia	"Observance,Christian"	Palm Sunday	Palm Sunday is a Christian feast that commemorates Jesus Christ’s entry into Jerusalem. It is also the start of Holy Week.	2033-04-10	2033	4	10
CO	Colombia	"National holiday,Christian"	Maundy Thursday	Maundy Thursday is a Christian observance on the Thursday during Holy Week. It is the day before Good Friday.	2033-04-14	2033	4	14
CO	Colombia	"National holiday,Christian"	Good Friday	Good Friday is a global Christian observance two days before Easter Sunday.	2033-04-15	2033	4	15
CO	Colombia	"Observance,Christian"	Easter Sunday	"Easter Sunday commemorates Jesus Christ’s resurrection, according to Christian belief."	2033-04-17	2033	4	17
CO	Colombia	Observance	Language Day	Language Day is a observance in Colombia	2033-04-23	2033	4	23
CO	Colombia	Observance	Secretaries' Day	Secretaries' Day is a observance in Colombia	2033-04-26	2033	4	26
CO	Colombia	Observance	Day of Trees	Day of Trees is a observance in Colombia	2033-04-29	2033	4	29
CO	Colombia	Observance	Children's Day	Children's Day is a observance in Colombia	2033-04-30	2033	4	30
CO	Colombia	National holiday	Labor Day / May Day	"Labor Day, or May Day, is a day off for workers in many countries around the world."	2033-05-01	2033	5	1
CO	Colombia	Observance	Mother's Day	Mother’s Day celebrates the achievements and efforts of mothers and mother figures.	2033-05-08	2033	5	8
CO	Colombia	Observance	Teacher's Day	Teacher's Day is a observance in Colombia	2033-05-15	2033	5	15
CO	Colombia	National holiday	Ascension Day	Ascension Day is the 40th day of Easter. It is a religious holiday that commemorates the ascension of Jesus Christ into heaven.	2033-05-30	2033	5	30
CO	Colombia	Observance	Father's Day	Father’s Day celebrates fatherhood and male parenting on different dates worldwide.	2033-06-19	2033	6	19
CO	Colombia	National holiday	Corpus Christi	Corpus Christi is a Christian feast in honor of the Holy Eucharist.	2033-06-20	2033	6	20
CO	Colombia	National holiday	Sacred Heart	Sacred Heart is a national holiday in Colombia	2033-06-27	2033	6	27
CO	Colombia	National holiday	Feast of Saint Peter and Saint Paul	Feast of Saint Peter and Saint Paul is a national holiday in Colombia	2033-07-04	2033	7	4
CO	Colombia	National holiday	Independence Day	Independence Day is a national holiday in Colombia	2033-07-20	2033	7	20
CO	Colombia	National holiday	Battle of Boyacá Day	Battle of Boyacá Day is a national holiday in Colombia	2033-08-07	2033	8	7
CO	Colombia	National holiday	Assumption of Mary	The Christian feast of the Assumption of Mary is on or around Aug 15 in most countries. A few celebrate Assumption Day at other times of the year.	2033-08-15	2033	8	15
CO	Colombia	Observance	Valentine's Day	"Valentine’s Day is a special time to celebrate love, romance and friendship."	2033-09-17	2033	9	17
CO	Colombia	National holiday	Columbus Day	Columbus Day is a national holiday in Colombia	2033-10-17	2033	10	17
CO	Colombia	Observance	Halloween	Halloween is a festive occasion that is celebrated in many countries on October 31 each year.	2033-10-31	2033	10	31
CO	Colombia	National holiday	All Saints' Day	"Many churches honor all their saints on All Saints' Day, also known as All Hallows' Day."	2033-11-07	2033	11	7
CO	Colombia	National holiday	Independence of Cartagena	Independence of Cartagena is a national holiday in Colombia	2033-11-14	2033	11	14
CO	Colombia	Observance	Colombian Women's Day	Colombian Women's Day is a observance in Colombia	2033-11-14	2033	11	14
CO	Colombia	Observance	Eve of the Feast of the Immaculate Conception	Eve of the Feast of the Immaculate Conception is a observance in Colombia	2033-12-07	2033	12	7
CO	Colombia	National holiday	Feast of the Immaculate Conception	The Feast of the Immaculate Conception is a Christian observance on December 8 each year.	2033-12-08	2033	12	8
CO	Colombia	Observance	Christmas Eve	Christmas Eve is the day before Christmas Day and falls on December 24 in the Gregorian calendar.	2033-12-24	2033	12	24
CO	Colombia	"National holiday,Christian"	Christmas Day	Christmas Day is one of the biggest Christian celebrations and falls on December 25 in the Gregorian calendar.	2033-12-25	2033	12	25
CO	Colombia	Observance	New Year's Eve	"New Year’s Eve is the last day of the year, December 31, in the Gregorian calendar."	2033-12-31	2033	12	31
CO	Colombia	National holiday	New Year's Day	"New Year’s Day is the first day of the year, or January 1, in the Gregorian calendar."	2034-01-01	2034	1	1
CO	Colombia	National holiday	Epiphany	Epiphany is a national holiday in Colombia	2034-01-09	2034	1	9
CO	Colombia	Observance	Women's Day	Women's Day is a observance in Colombia	2034-03-08	2034	3	8
CO	Colombia	National holiday	Saint Joseph's Day	Saint Joseph's Day is a national holiday in Colombia	2034-03-20	2034	3	20
CO	Colombia	"Observance,Christian"	Palm Sunday	Palm Sunday is a Christian feast that commemorates Jesus Christ’s entry into Jerusalem. It is also the start of Holy Week.	2034-04-02	2034	4	2
CO	Colombia	"National holiday,Christian"	Maundy Thursday	Maundy Thursday is a Christian observance on the Thursday during Holy Week. It is the day before Good Friday.	2034-04-06	2034	4	6
CO	Colombia	"National holiday,Christian"	Good Friday	Good Friday is a global Christian observance two days before Easter Sunday.	2034-04-07	2034	4	7
CO	Colombia	"Observance,Christian"	Easter Sunday	"Easter Sunday commemorates Jesus Christ’s resurrection, according to Christian belief."	2034-04-09	2034	4	9
CO	Colombia	Observance	Language Day	Language Day is a observance in Colombia	2034-04-23	2034	4	23
CO	Colombia	Observance	Secretaries' Day	Secretaries' Day is a observance in Colombia	2034-04-26	2034	4	26
CO	Colombia	Observance	Children's Day	Children's Day is a observance in Colombia	2034-04-29	2034	4	29
CO	Colombia	Observance	Day of Trees	Day of Trees is a observance in Colombia	2034-04-29	2034	4	29
CO	Colombia	National holiday	Labor Day / May Day	"Labor Day, or May Day, is a day off for workers in many countries around the world."	2034-05-01	2034	5	1
CO	Colombia	Observance	Mother's Day	Mother’s Day celebrates the achievements and efforts of mothers and mother figures.	2034-05-14	2034	5	14
CO	Colombia	Observance	Teacher's Day	Teacher's Day is a observance in Colombia	2034-05-15	2034	5	15
CO	Colombia	National holiday	Ascension Day	Ascension Day is the 40th day of Easter. It is a religious holiday that commemorates the ascension of Jesus Christ into heaven.	2034-05-22	2034	5	22
CO	Colombia	National holiday	Corpus Christi	Corpus Christi is a Christian feast in honor of the Holy Eucharist.	2034-06-12	2034	6	12
CO	Colombia	Observance	Father's Day	Father’s Day celebrates fatherhood and male parenting on different dates worldwide.	2034-06-18	2034	6	18
CO	Colombia	National holiday	Sacred Heart	Sacred Heart is a national holiday in Colombia	2034-06-19	2034	6	19
CO	Colombia	National holiday	Feast of Saint Peter and Saint Paul	Feast of Saint Peter and Saint Paul is a national holiday in Colombia	2034-07-03	2034	7	3
CO	Colombia	National holiday	Independence Day	Independence Day is a national holiday in Colombia	2034-07-20	2034	7	20
CO	Colombia	National holiday	Battle of Boyacá Day	Battle of Boyacá Day is a national holiday in Colombia	2034-08-07	2034	8	7
CO	Colombia	National holiday	Assumption of Mary	The Christian feast of the Assumption of Mary is on or around Aug 15 in most countries. A few celebrate Assumption Day at other times of the year.	2034-08-21	2034	8	21
CO	Colombia	Observance	Valentine's Day	"Valentine’s Day is a special time to celebrate love, romance and friendship."	2034-09-16	2034	9	16
CO	Colombia	National holiday	Columbus Day	Columbus Day is a national holiday in Colombia	2034-10-16	2034	10	16
CO	Colombia	Observance	Halloween	Halloween is a festive occasion that is celebrated in many countries on October 31 each year.	2034-10-31	2034	10	31
CO	Colombia	National holiday	All Saints' Day	"Many churches honor all their saints on All Saints' Day, also known as All Hallows' Day."	2034-11-06	2034	11	6
CO	Colombia	National holiday	Independence of Cartagena	Independence of Cartagena is a national holiday in Colombia	2034-11-13	2034	11	13
CO	Colombia	Observance	Colombian Women's Day	Colombian Women's Day is a observance in Colombia	2034-11-14	2034	11	14
CO	Colombia	Observance	Eve of the Feast of the Immaculate Conception	Eve of the Feast of the Immaculate Conception is a observance in Colombia	2034-12-07	2034	12	7
CO	Colombia	National holiday	Feast of the Immaculate Conception	The Feast of the Immaculate Conception is a Christian observance on December 8 each year.	2034-12-08	2034	12	8
CO	Colombia	Observance	Christmas Eve	Christmas Eve is the day before Christmas Day and falls on December 24 in the Gregorian calendar.	2034-12-24	2034	12	24
CO	Colombia	"National holiday,Christian"	Christmas Day	Christmas Day is one of the biggest Christian celebrations and falls on December 25 in the Gregorian calendar.	2034-12-25	2034	12	25
CO	Colombia	Observance	New Year's Eve	"New Year’s Eve is the last day of the year, December 31, in the Gregorian calendar."	2034-12-31	2034	12	31
CO	Colombia	National holiday	New Year's Day	"New Year’s Day is the first day of the year, or January 1, in the Gregorian calendar."	2035-01-01	2035	1	1
CO	Colombia	National holiday	Epiphany	Epiphany is a national holiday in Colombia	2035-01-08	2035	1	8
CO	Colombia	Observance	Women's Day	Women's Day is a observance in Colombia	2035-03-08	2035	3	8
CO	Colombia	"Observance,Christian"	Palm Sunday	Palm Sunday is a Christian feast that commemorates Jesus Christ’s entry into Jerusalem. It is also the start of Holy Week.	2035-03-18	2035	3	18
CO	Colombia	National holiday	Saint Joseph's Day	Saint Joseph's Day is a national holiday in Colombia	2035-03-19	2035	3	19
CO	Colombia	"National holiday,Christian"	Maundy Thursday	Maundy Thursday is a Christian observance on the Thursday during Holy Week. It is the day before Good Friday.	2035-03-22	2035	3	22
CO	Colombia	"National holiday,Christian"	Good Friday	Good Friday is a global Christian observance two days before Easter Sunday.	2035-03-23	2035	3	23
CO	Colombia	"Observance,Christian"	Easter Sunday	"Easter Sunday commemorates Jesus Christ’s resurrection, according to Christian belief."	2035-03-25	2035	3	25
CO	Colombia	Observance	Language Day	Language Day is a observance in Colombia	2035-04-23	2035	4	23
CO	Colombia	Observance	Secretaries' Day	Secretaries' Day is a observance in Colombia	2035-04-26	2035	4	26
CO	Colombia	Observance	Children's Day	Children's Day is a observance in Colombia	2035-04-28	2035	4	28
CO	Colombia	Observance	Day of Trees	Day of Trees is a observance in Colombia	2035-04-29	2035	4	29
CO	Colombia	National holiday	Labor Day / May Day	"May Day, or Labor Day, is a day off for workers in many countries around the world."	2035-05-01	2035	5	1
CO	Colombia	National holiday	Ascension Day	Ascension Day is the 40th day of Easter. It is a religious holiday that commemorates the ascension of Jesus Christ into heaven.	2035-05-07	2035	5	7
CO	Colombia	Observance	Mother's Day	Mother’s Day celebrates the achievements and efforts of mothers and mother figures.	2035-05-13	2035	5	13
CO	Colombia	Observance	Teacher's Day	Teacher's Day is a observance in Colombia	2035-05-15	2035	5	15
CO	Colombia	National holiday	Corpus Christi	Corpus Christi is a Christian feast in honor of the Holy Eucharist.	2035-05-28	2035	5	28
CO	Colombia	National holiday	Sacred Heart	Sacred Heart is a national holiday in Colombia	2035-06-04	2035	6	4
CO	Colombia	Observance	Father's Day	Father’s Day celebrates fatherhood and male parenting on different dates worldwide.	2035-06-17	2035	6	17
CO	Colombia	National holiday	Feast of Saint Peter and Saint Paul	Feast of Saint Peter and Saint Paul is a national holiday in Colombia	2035-07-02	2035	7	2
CO	Colombia	National holiday	Independence Day	Independence Day is a national holiday in Colombia	2035-07-20	2035	7	20
CO	Colombia	National holiday	Battle of Boyacá Day	Battle of Boyacá Day is a national holiday in Colombia	2035-08-07	2035	8	7
CO	Colombia	National holiday	Assumption of Mary	The Christian feast of the Assumption of Mary is on or around Aug 15 in most countries. A few celebrate Assumption Day at other times of the year.	2035-08-20	2035	8	20
CO	Colombia	Observance	Valentine's Day	"Valentine’s Day is a special time to celebrate love, romance and friendship."	2035-09-15	2035	9	15
CO	Colombia	National holiday	Columbus Day	Columbus Day is a national holiday in Colombia	2035-10-15	2035	10	15
CO	Colombia	Observance	Halloween	Halloween is a festive occasion that is celebrated in many countries on October 31 each year.	2035-10-31	2035	10	31
CO	Colombia	National holiday	All Saints' Day	"Many churches honor all their saints on All Saints' Day, also known as All Hallows' Day."	2035-11-05	2035	11	5
CO	Colombia	National holiday	Independence of Cartagena	Independence of Cartagena is a national holiday in Colombia	2035-11-12	2035	11	12
CO	Colombia	Observance	Colombian Women's Day	Colombian Women's Day is a observance in Colombia	2035-11-14	2035	11	14
CO	Colombia	Observance	Eve of the Feast of the Immaculate Conception	Eve of the Feast of the Immaculate Conception is a observance in Colombia	2035-12-07	2035	12	7
CO	Colombia	National holiday	Feast of the Immaculate Conception	The Feast of the Immaculate Conception is a Christian observance on December 8 each year.	2035-12-08	2035	12	8
CO	Colombia	Observance	Christmas Eve	Christmas Eve is the day before Christmas Day and falls on December 24 in the Gregorian calendar.	2035-12-24	2035	12	24
CO	Colombia	"National holiday,Christian"	Christmas Day	Christmas Day is one of the biggest Christian celebrations and falls on December 25 in the Gregorian calendar.	2035-12-25	2035	12	25
CO	Colombia	Observance	New Year's Eve	"New Year’s Eve is the last day of the year, December 31, in the Gregorian calendar."	2035-12-31	2035	12	31
CO	Colombia	National holiday	New Year's Day	"New Year’s Day is the first day of the year, or January 1, in the Gregorian calendar."	2036-01-01	2036	1	1
CO	Colombia	National holiday	Epiphany	Epiphany is a national holiday in Colombia	2036-01-07	2036	1	7
CO	Colombia	Observance	Women's Day	Women's Day is a observance in Colombia	2036-03-08	2036	3	8
